id,max_,min_,mean_,median_,std_,wealth
1138.0,23.0,0.0,4.9,0.0,6.478425734698207,0.28067
1139.0,23.0,0.0,6.56,6.0,7.020427337420422,-0.23010999999999998
1140.0,23.0,0.0,6.42,6.0,7.062832293067704,-1.2146
1141.0,23.0,0.0,8.06,7.0,6.2350942254307595,-1.165635
1142.0,23.0,0.0,5.85,0.0,7.155941587240634,-0.6788649999999999
1143.0,16.0,0.0,6.02,6.0,4.04717185204681,-1.041585
1144.0,16.0,0.0,5.55,6.0,4.432550056118938,-0.9479299999999999
1145.0,16.0,0.0,5.87,6.0,4.1729006697979285,-1.01949
1146.0,16.0,0.0,5.42,5.0,4.461345088647594,-0.93776
1147.0,16.0,0.0,5.13,6.0,4.681143022809707,-1.21284
1148.0,16.0,0.0,5.45,6.0,4.4997222136483055,-1.3039100000000001
1149.0,33.0,0.0,12.08,10.0,7.502906103637444,-1.906355
1150.0,33.0,0.0,6.64,5.0,8.06538281794485,-1.0401799999999999
1151.0,33.0,0.0,11.43,10.0,8.107101824943364,-1.19364
1152.0,30.0,0.0,8.05,7.0,6.785830826066914,-1.0685200000000001
1153.0,33.0,0.0,12.65,10.0,6.989098654333046,-1.916995
1154.0,12.0,5.0,7.55,7.5,1.6695807857064,-0.17847000000000002
1155.0,13.0,0.0,8.0,8.0,1.969771560359221,-2.10604
1156.0,9.0,0.0,5.12,6.0,2.1553653982561753,-0.97345
1157.0,5.0,0.0,0.3,0.0,1.187434208703792,-1.519025
1158.0,30.0,0.0,7.87,6.0,7.016630245352821,-0.9736
1159.0,0.0,0.0,0.0,0.0,0.0,-0.89223
1160.0,10.0,0.0,2.04,0.0,3.114225425366635,-0.093945
1161.0,0.0,0.0,0.0,0.0,0.0,-1.0764200000000002
1162.0,23.0,0.0,4.83,0.0,6.825034798446086,-1.3714549999999999
1163.0,23.0,0.0,3.62,0.0,5.579928314951726,-0.6690100000000001
1164.0,22.0,0.0,2.97,0.0,5.496280560524545,-1.72125
1165.0,13.0,0.0,1.2,0.0,2.9154759474226504,-1.37847
1166.0,6.0,0.0,0.23,0.0,1.1300884921102416,-1.6216149999999998
1167.0,6.0,0.0,0.11,0.0,0.773239936888932,-2.2829
1168.0,0.0,0.0,0.0,0.0,0.0,-1.018015
1169.0,0.0,0.0,0.0,0.0,0.0,-1.375575
1170.0,12.0,0.0,1.17,0.0,2.803765325415093,-2.0293400000000004
